* Neither G1 nor G2,,,,,GradeCols,BestSoFar,,,,,,,,,,,
1,KFold,2,78.30%,82.69%,,*,PredScheme,Validation,Param,trainAcc,testAcc,trainAcc_G1,testAcc_G1,trainAcc_G1_G2,testAcc_G1_G2,,
1,Holdout,0.5,85.75%,89.42%,_G1_G2,,,,,,,,,,,,
2,KFold,2,87.34%,88.46%,_G1_G2,,,,,,,,,,,,
2,KFold,3,86.70%,88.46%,_G1_G2,,,,,,,,,,,,
2,KFold,4,86.81%,88.46%,_G1_G2,,,,,,,,,,,,
2,KFold,5,87.02%,88.46%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.1,87.23%,88.46%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.15,88.11%,89.42%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.2,87.77%,89.42%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.25,87.94%,88.46%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.3,88.15%,89.42%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.35,88.54%,90.39%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.4,88.30%,88.46%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.45,89.56%,90.39%,_G1_G2,,,,,,,,,,,,
2,Holdout,0.5,89.15%,87.50%,_G1_G2,,,,,,,,,,,,
